Broj_police,Starost,Kanal_prodaje,Regija,Premija,Broj_šteta,Iznos_štete
116,55,Broker,Zagreb,255.85,2,2009.76
117,83,Broker,Zagreb,278.26,0,0.0
118,43,IPM,Slavonija,253.06,0,0.0
119,74,Broker,Zagreb,269.44,0,0.0
120,42,Web,Dalmacija,231.25,1,989.42
121,47,Broker,Zagreb,282.54,0,0.0
122,24,Broker,Zagreb,269.04,0,0.0
123,44,IPM,Dalmacija,238.76,0,0.0
124,28,IPM,Dalmacija,269.14,0,0.0
125,25,IPM,Zagreb,258.91,1,755.36
126,28,Web,Dalmacija,258.43,0,0.0
127,47,Broker,Slavonija,227.51,0,0.0
128,32,Broker,Dalmacija,228.46,0,0.0
129,73,IPM,Slavonija,257.24,0,0.0
130,52,Web,Slavonija,244.96,0,0.0
131,56,Web,Istra i Kvarner,232.47,0,0.0
132,41,IPM,Zagreb,290.67,0,0.0
133,25,IPM,Slavonija,255.57,1,109.22
134,60,IPM,Slavonija,218.08,0,0.0
135,59,Broker,Zagreb,290.83,0,0.0
136,58,IPM,Zagreb,257.45,1,1173.02
137,64,Web,Zagreb,246.82,0,0.0
138,43,Banka,Slavonija,237.69,0,0.0
139,69,IPM,Slavonija,249.37,0,0.0
140,39,Broker,Slavonija,251.16,0,0.0
141,22,Broker,Zagreb,248.02,1,2334.86
142,32,IPM,Slavonija,228.8,1,1230.55
143,53,Web,Istra i Kvarner,238.59,0,0.0
144,80,IPM,Zagreb,263.5,0,0.0
145,66,IPM,Slavonija,261.43,0,0.0
146,72,IPM,Dalmacija,243.8,1,687.39
147,77,Web,Dalmacija,261.14,0,0.0
148,74,Web,Slavonija,266.44,0,0.0
149,46,IPM,Dalmacija,258.34,0,0.0
150,36,IPM,Zagreb,224.28,0,0.0
151,27,Broker,Dalmacija,245.44,0,0.0
152,27,IPM,Zagreb,272.26,0,0.0
153,74,IPM,Zagreb,274.1,0,0.0
154,71,Web,Zagreb,240.64,0,0.0
155,73,Broker,Dalmacija,238.54,0,0.0
156,72,IPM,Slavonija,229.57,0,0.0
157,18,Web,Zagreb,259.71,0,0.0
158,29,Banka,Zagreb,270.73,0,0.0
159,52,IPM,Istra i Kvarner,238.88,0,0.0
160,50,Banka,Dalmacija,237.2,1,179.18
161,42,IPM,Slavonija,247.03,0,0.0
162,33,Web,Slavonija,242.62,0,0.0
163,25,Web,Slavonija,253.0,0,0.0
164,52,Web,Zagreb,268.07,0,0.0
165,63,IPM,Istra i Kvarner,226.49,0,0.0
166,28,Broker,Zagreb,257.99,0,0.0
167,78,IPM,Slavonija,245.08,0,0.0
168,61,IPM,Zagreb,267.61,0,0.0
169,28,IPM,Slavonija,228.8,0,0.0
170,28,Web,Slavonija,260.15,0,0.0
171,39,Web,Slavonija,254.68,1,431.73
172,79,IPM,Zagreb,265.09,0,0.0
173,65,Web,Slavonija,247.54,1,311.33
174,80,IPM,Zagreb,257.31,0,0.0
175,68,Web,Zagreb,289.08,0,0.0
176,62,IPM,Zagreb,309.14,0,0.0
177,50,Web,Dalmacija,240.33,0,0.0
178,77,IPM,Slavonija,268.36,0,0.0
179,19,Broker,Slavonija,237.09,0,0.0
180,30,IPM,Dalmacija,242.02,0,0.0
181,83,IPM,Slavonija,271.51,0,0.0
182,74,IPM,Slavonija,248.2,0,0.0
183,60,Broker,Zagreb,286.34,0,0.0
184,62,Broker,Zagreb,270.55,0,0.0
185,48,IPM,Slavonija,222.96,0,0.0
186,27,Web,Slavonija,285.06,0,0.0
187,40,Broker,Dalmacija,246.75,1,1037.92
188,46,Web,Dalmacija,252.34,0,0.0
189,48,Web,Zagreb,262.91,0,0.0
190,35,IPM,Zagreb,287.87,0,0.0
191,28,IPM,Slavonija,260.6,0,0.0
192,64,Broker,Zagreb,249.31,0,0.0
193,20,Broker,Zagreb,277.82,0,0.0
194,19,Web,Dalmacija,263.16,0,0.0
195,71,IPM,Zagreb,294.81,0,0.0
196,48,IPM,Istra i Kvarner,259.7,0,0.0
197,25,Banka,Dalmacija,261.02,0,0.0
198,60,Broker,Dalmacija,241.9,1,2475.14
199,65,Broker,Zagreb,254.72,0,0.0
200,19,Banka,Zagreb,269.87,0,0.0
201,39,Web,Slavonija,231.22,0,0.0
202,22,IPM,Zagreb,262.81,0,0.0
203,24,IPM,Zagreb,262.56,0,0.0
204,37,Broker,Zagreb,259.48,0,0.0
205,19,Web,Zagreb,283.78,1,821.13
206,49,IPM,Zagreb,258.29,0,0.0
207,20,IPM,Dalmacija,277.53,0,0.0
208,58,Web,Zagreb,291.32,0,0.0
209,59,IPM,Zagreb,294.63,0,0.0
210,62,IPM,Slavonija,239.66,0,0.0
211,34,Web,Istra i Kvarner,253.0,0,0.0
212,64,Web,Zagreb,257.79,0,0.0
213,41,Web,Zagreb,278.59,0,0.0
214,51,IPM,Slavonija,223.48,0,0.0
215,67,Banka,Istra i Kvarner,265.93,0,0.0
216,59,IPM,Dalmacija,240.33,0,0.0
217,50,IPM,Slavonija,254.54,0,0.0
218,44,Banka,Zagreb,283.06,0,0.0
219,76,Web,Slavonija,241.69,0,0.0
220,36,Broker,Zagreb,261.83,1,486.1
221,20,Web,Slavonija,248.2,1,2180.74
222,42,Web,Dalmacija,262.04,0,0.0
223,32,IPM,Istra i Kvarner,247.8,0,0.0
224,77,IPM,Zagreb,284.95,1,5821.63
225,40,IPM,Zagreb,288.1,0,0.0
226,28,IPM,Slavonija,247.11,0,0.0
227,76,Broker,Dalmacija,248.31,0,0.0
228,51,IPM,Dalmacija,252.08,0,0.0
229,24,Broker,Zagreb,293.85,0,0.0
230,61,Web,Zagreb,269.34,0,0.0
231,81,Banka,Slavonija,267.07,0,0.0
232,40,Web,Zagreb,279.21,0,0.0
233,75,Web,Dalmacija,238.95,0,0.0
234,37,Web,Slavonija,249.37,0,0.0
235,44,IPM,Dalmacija,233.19,1,592.17
236,77,Banka,Slavonija,229.81,0,0.0
237,25,IPM,Dalmacija,259.1,0,0.0
238,84,IPM,Zagreb,288.16,0,0.0
239,19,Web,Dalmacija,249.5,0,0.0
240,39,IPM,Zagreb,275.79,0,0.0
241,53,Broker,Slavonija,241.35,0,0.0
242,41,Broker,Zagreb,277.8,0,0.0
243,29,Broker,Slavonija,279.72,0,0.0
244,39,IPM,Zagreb,291.66,0,0.0
245,40,IPM,Zagreb,273.75,0,0.0
246,80,Broker,Istra i Kvarner,247.55,1,407.99
247,47,Web,Zagreb,268.79,0,0.0
248,36,Broker,Dalmacija,228.83,2,1838.66
249,43,Broker,Istra i Kvarner,242.76,0,0.0
250,28,Broker,Zagreb,286.12,0,0.0
251,37,IPM,Slavonija,236.02,0,0.0
252,73,IPM,Zagreb,270.38,0,0.0
253,62,Broker,Zagreb,256.55,0,0.0
254,64,IPM,Slavonija,261.78,0,0.0
255,75,IPM,Istra i Kvarner,230.9,0,0.0
256,27,Web,Zagreb,284.78,0,0.0
257,39,Broker,Slavonija,265.43,0,0.0
258,41,Web,Slavonija,245.15,0,0.0
259,83,Web,Dalmacija,239.7,0,0.0
260,78,IPM,Zagreb,282.84,1,300.35
261,24,Web,Slavonija,274.04,0,0.0
262,55,Broker,Slavonija,270.13,0,0.0
263,38,IPM,Slavonija,248.89,0,0.0
264,25,Web,Istra i Kvarner,236.75,0,0.0
265,45,Broker,Dalmacija,246.52,0,0.0
266,71,Banka,Zagreb,247.12,0,0.0
267,48,Web,Slavonija,241.66,0,0.0
268,58,Banka,Zagreb,282.43,0,0.0
269,54,IPM,Zagreb,268.93,0,0.0
270,55,IPM,Slavonija,240.99,0,0.0
271,68,Broker,Zagreb,274.08,1,2236.29
272,54,Broker,Slavonija,245.96,0,0.0
273,48,Broker,Istra i Kvarner,261.33,1,666.93
274,79,Broker,Zagreb,253.11,1,1154.81
275,35,Web,Istra i Kvarner,257.9,0,0.0
276,23,Web,Slavonija,249.31,0,0.0
277,26,Banka,Slavonija,256.51,1,168.22
278,28,Web,Dalmacija,229.16,0,0.0
279,19,Banka,Zagreb,289.57,0,0.0
280,46,Banka,Slavonija,258.15,0,0.0
281,68,Broker,Slavonija,275.1,0,0.0
282,40,IPM,Zagreb,261.26,0,0.0
283,24,IPM,Istra i Kvarner,241.23,0,0.0
284,73,IPM,Dalmacija,223.24,0,0.0
285,79,Web,Zagreb,261.41,0,0.0
286,32,IPM,Zagreb,298.67,0,0.0
287,70,Web,Slavonija,254.43,0,0.0
288,60,Web,Zagreb,263.02,0,0.0
289,52,IPM,Slavonija,252.0,0,0.0
290,31,Web,Zagreb,273.98,0,0.0
291,66,IPM,Slavonija,221.36,0,0.0
292,35,IPM,Zagreb,246.49,0,0.0
293,68,Broker,Zagreb,293.26,0,0.0
294,18,IPM,Slavonija,261.05,1,2969.23
295,44,IPM,Slavonija,227.73,0,0.0
296,81,Web,Istra i Kvarner,248.1,0,0.0
297,77,Banka,Dalmacija,239.26,0,0.0
298,58,IPM,Zagreb,292.97,0,0.0
299,38,Web,Zagreb,282.38,0,0.0
300,31,IPM,Dalmacija,233.43,0,0.0
301,37,IPM,Istra i Kvarner,251.8,0,0.0
302,28,Web,Dalmacija,249.38,0,0.0
303,83,Web,Zagreb,274.37,0,0.0
304,41,Web,Istra i Kvarner,242.35,0,0.0
305,54,Banka,Zagreb,275.41,0,0.0
306,41,Broker,Dalmacija,237.24,1,592.08
307,32,Web,Istra i Kvarner,232.18,0,0.0
308,29,IPM,Zagreb,254.43,0,0.0
309,81,Banka,Istra i Kvarner,234.26,0,0.0
310,48,IPM,Zagreb,281.97,0,0.0
311,70,Web,Istra i Kvarner,256.74,0,0.0
312,61,IPM,Zagreb,299.1,0,0.0
313,47,IPM,Istra i Kvarner,246.57,0,0.0
314,52,Broker,Zagreb,286.57,0,0.0
315,38,Broker,Dalmacija,250.71,0,0.0
316,80,Web,Slavonija,254.49,0,0.0
317,34,Web,Slavonija,262.13,1,577.15
318,29,IPM,Zagreb,284.6,0,0.0
319,35,IPM,Dalmacija,251.63,0,0.0
320,77,IPM,Zagreb,264.88,0,0.0
321,84,Web,Slavonija,254.14,0,0.0
322,32,Banka,Zagreb,297.51,0,0.0
323,33,Web,Istra i Kvarner,252.63,0,0.0
324,39,IPM,Zagreb,268.48,0,0.0
325,80,Broker,Zagreb,288.55,0,0.0
326,48,Banka,Zagreb,252.15,0,0.0
327,18,Web,Slavonija,244.6,0,0.0
328,23,Web,Zagreb,258.82,0,0.0
329,26,Web,Slavonija,248.18,0,0.0
330,69,IPM,Dalmacija,268.7,0,0.0
331,79,IPM,Dalmacija,259.61,0,0.0
332,75,Banka,Slavonija,221.98,0,0.0
333,36,IPM,Zagreb,264.79,0,0.0
334,30,IPM,Slavonija,227.51,0,0.0
335,49,IPM,Zagreb,292.46,0,0.0
336,26,IPM,Dalmacija,241.26,2,2184.59
337,66,Broker,Zagreb,276.25,0,0.0
338,54,Banka,Slavonija,251.86,0,0.0
339,48,Web,Zagreb,278.4,0,0.0
340,48,IPM,Dalmacija,206.61,0,0.0
341,76,Web,Zagreb,280.96,0,0.0
342,72,Web,Slavonija,241.77,0,0.0
343,36,IPM,Zagreb,288.96,2,1458.73
344,80,Web,Dalmacija,253.04,1,3370.17
345,19,IPM,Istra i Kvarner,259.48,0,0.0
346,62,Web,Slavonija,239.08,0,0.0
347,60,Web,Slavonija,233.07,0,0.0
348,18,IPM,Istra i Kvarner,263.36,0,0.0
349,78,IPM,Slavonija,258.45,0,0.0
350,20,Web,Slavonija,253.33,2,5891.7
351,61,Web,Slavonija,253.31,0,0.0
352,24,Broker,Slavonija,256.31,0,0.0
353,50,Web,Zagreb,253.68,0,0.0
354,26,IPM,Dalmacija,266.13,1,1828.18
355,47,IPM,Slavonija,247.69,0,0.0
356,35,Web,Zagreb,272.93,0,0.0
357,73,IPM,Dalmacija,243.73,0,0.0
358,48,Web,Zagreb,234.25,0,0.0
359,80,Broker,Zagreb,284.49,0,0.0
360,67,Web,Slavonija,235.02,0,0.0
361,18,IPM,Dalmacija,251.62,0,0.0
362,36,Web,Dalmacija,237.7,0,0.0
363,81,Web,Istra i Kvarner,244.85,0,0.0
364,70,Web,Dalmacija,244.01,0,0.0
365,23,Broker,Zagreb,261.08,0,0.0
366,34,IPM,Zagreb,271.27,0,0.0
367,63,Broker,Dalmacija,242.79,1,817.2
368,72,Broker,Zagreb,257.83,0,0.0
369,23,IPM,Slavonija,267.59,0,0.0
370,57,IPM,Slavonija,237.98,0,0.0
371,83,IPM,Zagreb,284.27,0,0.0
372,26,IPM,Istra i Kvarner,260.02,0,0.0
373,28,IPM,Slavonija,263.86,0,0.0
374,37,Web,Slavonija,241.82,0,0.0
375,60,IPM,Istra i Kvarner,247.02,0,0.0
376,75,IPM,Slavonija,247.48,1,2423.55
377,43,Broker,Zagreb,283.7,1,155.68
378,55,IPM,Slavonija,246.36,0,0.0
379,53,Broker,Dalmacija,256.88,0,0.0
380,72,IPM,Dalmacija,246.16,2,1742.47
381,23,IPM,Dalmacija,266.76,0,0.0
382,20,Web,Dalmacija,249.82,0,0.0
383,82,Web,Zagreb,272.82,0,0.0
384,81,Broker,Dalmacija,255.09,1,686.27
385,75,Banka,Dalmacija,274.53,0,0.0
386,75,Broker,Zagreb,265.01,0,0.0
387,35,IPM,Zagreb,292.15,1,320.09
388,40,IPM,Istra i Kvarner,237.74,0,0.0
389,46,Banka,Dalmacija,250.66,0,0.0
390,40,Broker,Dalmacija,238.08,0,0.0
391,53,Broker,Dalmacija,244.43,0,0.0
392,23,Web,Slavonija,239.82,1,1736.99
393,51,IPM,Slavonija,260.47,0,0.0
394,61,Banka,Slavonija,242.54,0,0.0
395,61,IPM,Zagreb,283.75,2,2762.98
396,44,Broker,Dalmacija,242.1,0,0.0
397,69,Broker,Slavonija,249.92,0,0.0
398,59,Web,Slavonija,271.86,2,2383.69
399,42,Banka,Slavonija,238.82,1,128.92
400,56,Banka,Slavonija,239.1,0,0.0
401,56,IPM,Zagreb,270.94,1,472.65
402,29,Broker,Zagreb,274.71,0,0.0
403,28,Web,Zagreb,285.24,0,0.0
404,20,Broker,Zagreb,275.71,0,0.0
405,39,IPM,Istra i Kvarner,253.68,0,0.0
406,21,Broker,Zagreb,255.95,0,0.0
407,25,IPM,Zagreb,279.98,1,489.03
408,31,IPM,Slavonija,254.92,0,0.0
409,31,Broker,Slavonija,260.07,0,0.0
410,33,IPM,Zagreb,269.58,0,0.0
411,49,IPM,Dalmacija,249.9,0,0.0
412,81,Broker,Dalmacija,260.6,1,357.47
413,33,Broker,Zagreb,257.53,0,0.0
414,69,Web,Zagreb,245.38,0,0.0
415,36,Web,Istra i Kvarner,233.37,0,0.0
416,29,Web,Dalmacija,240.41,2,3116.3
417,22,IPM,Slavonija,266.09,0,0.0
418,59,IPM,Zagreb,308.48,1,1620.29
419,34,Web,Slavonija,236.36,1,298.3
420,27,Banka,Slavonija,248.74,0,0.0
421,33,Banka,Zagreb,266.31,0,0.0
422,33,Banka,Slavonija,257.22,0,0.0
423,59,IPM,Slavonija,254.2,0,0.0
424,20,Web,Zagreb,260.54,0,0.0
425,40,IPM,Dalmacija,240.68,0,0.0
426,45,Web,Dalmacija,247.85,0,0.0
427,62,Web,Zagreb,295.3,1,204.16
428,41,Broker,Dalmacija,240.19,0,0.0
429,36,IPM,Zagreb,249.4,0,0.0
430,57,IPM,Dalmacija,269.55,1,238.44
431,63,IPM,Zagreb,283.21,0,0.0
432,57,Banka,Zagreb,255.81,0,0.0
433,79,Web,Slavonija,254.6,0,0.0
434,35,IPM,Slavonija,262.18,0,0.0
435,29,IPM,Istra i Kvarner,251.41,0,0.0
436,31,Banka,Zagreb,297.48,0,0.0
437,78,IPM,Zagreb,284.16,0,0.0
438,29,Broker,Slavonija,254.58,0,0.0
439,44,Banka,Slavonija,253.06,0,0.0
440,23,IPM,Zagreb,277.24,1,3482.25
441,50,IPM,Slavonija,263.17,0,0.0
442,67,Broker,Dalmacija,247.76,1,5352.52
443,29,IPM,Dalmacija,264.24,0,0.0
444,74,IPM,Istra i Kvarner,254.68,0,0.0
445,70,Broker,Zagreb,276.74,0,0.0
446,30,Broker,Dalmacija,245.38,0,0.0
447,20,Broker,Zagreb,270.07,0,0.0
448,81,Banka,Slavonija,254.79,0,0.0
449,75,IPM,Slavonija,265.2,0,0.0
450,21,IPM,Istra i Kvarner,257.57,1,3237.59
451,62,Banka,Dalmacija,239.28,0,0.0
452,83,Web,Istra i Kvarner,226.02,0,0.0
453,53,Web,Dalmacija,261.1,0,0.0
454,40,Broker,Istra i Kvarner,290.24,0,0.0
455,36,IPM,Dalmacija,245.86,0,0.0
456,57,Web,Slavonija,243.05,0,0.0
457,33,IPM,Zagreb,288.54,0,0.0
458,75,Web,Zagreb,260.8,0,0.0
459,35,IPM,Zagreb,299.69,0,0.0
460,53,IPM,Slavonija,256.18,0,0.0
461,41,IPM,Slavonija,249.6,0,0.0
462,18,Web,Slavonija,238.39,0,0.0
463,18,Banka,Istra i Kvarner,263.23,0,0.0
464,81,Web,Istra i Kvarner,243.34,0,0.0
465,79,Broker,Zagreb,286.7,1,822.7
466,53,IPM,Zagreb,281.58,0,0.0
467,35,IPM,Slavonija,269.37,0,0.0
468,33,Broker,Zagreb,277.62,0,0.0
469,34,IPM,Dalmacija,296.75,0,0.0
470,41,Broker,Slavonija,258.32,1,2502.83
471,19,IPM,Slavonija,252.19,0,0.0
472,27,Broker,Dalmacija,244.16,0,0.0
473,70,IPM,Dalmacija,263.15,2,1624.64
474,68,Broker,Zagreb,268.95,1,252.21
475,31,Web,Dalmacija,238.39,1,6308.84
476,83,Broker,Slavonija,242.97,0,0.0
477,70,IPM,Zagreb,271.83,0,0.0
478,81,Web,Zagreb,312.12,0,0.0
479,66,Broker,Slavonija,254.39,0,0.0
480,79,Web,Zagreb,264.09,0,0.0
481,54,Web,Zagreb,292.97,0,0.0
482,66,Web,Slavonija,252.83,0,0.0
483,50,Web,Dalmacija,269.42,0,0.0
484,39,Web,Zagreb,306.54,0,0.0
485,50,Web,Zagreb,250.39,0,0.0
486,45,Broker,Dalmacija,214.37,0,0.0
487,21,IPM,Zagreb,307.86,1,1616.74
488,83,IPM,Istra i Kvarner,239.69,0,0.0
489,66,Broker,Slavonija,224.52,0,0.0
490,28,Broker,Zagreb,266.34,1,433.14
491,52,Web,Zagreb,259.03,0,0.0
492,56,Web,Zagreb,262.25,0,0.0
493,27,IPM,Zagreb,289.12,2,4464.71
494,40,IPM,Zagreb,269.07,0,0.0
495,51,Web,Slavonija,225.73,0,0.0
496,49,IPM,Zagreb,275.54,0,0.0
497,33,Web,Slavonija,237.23,0,0.0
498,71,IPM,Slavonija,246.26,0,0.0
499,45,Broker,Zagreb,271.83,0,0.0
500,77,Broker,Zagreb,288.95,0,0.0
501,77,Web,Zagreb,266.66,0,0.0
502,61,Web,Zagreb,286.51,1,2484.27
503,19,IPM,Dalmacija,226.07,0,0.0
504,40,Broker,Zagreb,289.83,0,0.0
505,63,Web,Dalmacija,269.48,0,0.0
506,71,IPM,Slavonija,246.55,0,0.0
507,26,Broker,Slavonija,237.72,1,393.31
508,61,Broker,Slavonija,233.84,0,0.0
509,29,Broker,Dalmacija,249.62,1,1285.96
510,49,Banka,Zagreb,295.07,0,0.0
511,51,Web,Zagreb,267.97,0,0.0
512,50,Web,Slavonija,266.67,0,0.0
513,81,Broker,Zagreb,256.0,0,0.0
514,65,Broker,Slavonija,244.73,0,0.0
515,33,IPM,Slavonija,249.35,0,0.0
516,67,IPM,Slavonija,253.25,1,433.26
517,40,IPM,Slavonija,245.01,0,0.0
518,43,Broker,Slavonija,268.7,0,0.0
519,71,Broker,Dalmacija,268.94,0,0.0
520,61,IPM,Dalmacija,247.38,0,0.0
521,54,Web,Slavonija,242.19,0,0.0
522,26,IPM,Slavonija,240.99,0,0.0
523,30,Broker,Dalmacija,265.52,0,0.0
524,77,Broker,Slavonija,240.02,1,267.42
525,19,Broker,Slavonija,228.08,0,0.0
526,77,Web,Dalmacija,230.32,0,0.0
527,74,Web,Slavonija,260.0,0,0.0
528,60,IPM,Zagreb,252.47,0,0.0
529,36,IPM,Dalmacija,244.02,0,0.0
530,28,Broker,Zagreb,276.69,1,312.33
531,64,Broker,Dalmacija,224.77,1,940.35
532,80,Broker,Dalmacija,252.73,0,0.0
533,24,Broker,Istra i Kvarner,245.13,0,0.0
534,48,Web,Zagreb,243.53,0,0.0
535,72,Banka,Slavonija,252.93,0,0.0
536,42,Broker,Slavonija,255.94,0,0.0
537,47,Broker,Zagreb,278.05,0,0.0
538,53,IPM,Zagreb,283.32,0,0.0
539,67,Web,Slavonija,253.87,0,0.0
540,31,IPM,Slavonija,260.95,0,0.0
541,46,Broker,Zagreb,259.39,0,0.0
542,44,Web,Slavonija,229.05,0,0.0
543,67,IPM,Dalmacija,232.58,1,615.01
544,53,Web,Dalmacija,237.82,0,0.0
545,51,Web,Istra i Kvarner,280.33,0,0.0
546,38,IPM,Slavonija,237.95,0,0.0
547,55,IPM,Istra i Kvarner,242.17,0,0.0
548,67,Web,Dalmacija,246.49,0,0.0
549,54,Web,Zagreb,269.11,0,0.0
550,36,Banka,Zagreb,304.95,0,0.0
551,18,Web,Slavonija,224.12,0,0.0
552,57,Broker,Slavonija,282.78,0,0.0
553,72,Web,Slavonija,252.17,0,0.0
554,43,Web,Slavonija,264.42,0,0.0
555,60,Broker,Dalmacija,250.31,0,0.0
556,76,Web,Slavonija,262.23,0,0.0
557,68,IPM,Zagreb,259.42,0,0.0
558,32,IPM,Dalmacija,229.68,0,0.0
559,25,Banka,Zagreb,317.79,0,0.0
560,31,Web,Istra i Kvarner,278.7,0,0.0
561,24,Banka,Zagreb,257.61,0,0.0
562,35,IPM,Istra i Kvarner,260.75,0,0.0
563,29,IPM,Zagreb,294.1,0,0.0
564,19,IPM,Zagreb,285.89,1,2428.88
565,67,IPM,Zagreb,271.56,0,0.0
566,38,Web,Dalmacija,280.37,0,0.0
567,24,IPM,Dalmacija,260.31,0,0.0
568,29,Web,Slavonija,236.08,0,0.0
569,74,Broker,Istra i Kvarner,244.2,0,0.0
570,40,IPM,Slavonija,233.95,0,0.0
